target	n_rows	n_distinct_activity	n_eq_d	candidates_gt_100
CHEMBL1075533	149	149	yes	yes
CHEMBL1075538	103	103	yes	yes
CHEMBL1743121	43	43	yes	no
CHEMBL1875	90	90	yes	no
CHEMBL2095172	67	67	yes	no
CHEMBL2366254	97	97	yes	no
CHEMBL2889	1072	1072	yes	yes
CHEMBL3071	5	5	yes	no
CHEMBL3072	367	367	yes	yes
CHEMBL3108638	255	255	yes	yes
CHEMBL3112376	95	95	yes	no
CHEMBL3799	35	35	yes	no
CHEMBL4523988	110	110	yes	yes
CHEMBL5084	15	15	yes	no
CHEMBL5198	17	17	yes	no
CHEMBL5705	176	176	yes	yes
CHEMBL6080	861	861	yes	yes
CHEMBL612570	160	160	yes	yes
CHEMBL612851	4968	4968	yes	yes
CHEMBL614517	437	437	yes	yes
