chemblId,value,units
CHEMBL90555,11.0,uM
CHEMBL421,12.0,uM
CHEMBL163,4.4,uM
CHEMBL374478,1.5,uM
CHEMBL1144,62.0,uM
CHEMBL15177,6.4,uM
CHEMBL6,41.0,uM
CHEMBL343002,18.0,uM
CHEMBL553,44.0,uM
CHEMBL53463,41.0,uM
CHEMBL160,1.3,uM
CHEMBL1163,0.4,uM
CHEMBL1651956,0.22,uM
CHEMBL3344501,0.88,uM
CHEMBL159,43.5,uM
CHEMBL428647,0.26,uM
CHEMBL515,80.7,uM
CHEMBL58,3.39,uM
CHEMBL90555,36.78,uM
CHEMBL44657,4.18,uM
CHEMBL431701,2.7,uM
CHEMBL592675,5.0,uM
CHEMBL4802105,36.4,uM
CHEMBL1229211,100.0,uM
CHEMBL160,130.0,nM
CHEMBL3704747,1800.0,nM
CHEMBL3704745,190.0,nM
CHEMBL454575,200.0,uM
CHEMBL67,194.54,uM
CHEMBL1829174,11.2,uM
CHEMBL4288001,39.49,uM
CHEMBL4567446,137.0,uM
CHEMBL4112930,19.4,uM
CHEMBL4876008,50.0,uM
CHEMBL4297270,0.57,uM
CHEMBL5072201,2.6,uM
CHEMBL5087506,10.0,uM
CHEMBL5089410,30.0,uM
CHEMBL5182534,13.5,uM
CHEMBL5199698,50.0,uM
CHEMBL5563681,50.0,uM
CHEMBL5563848,18.0,uM
CHEMBL4752051,10.0,uM
