target	old_uM	old_nM	new_win_uM	new_win_nM	usable	ctrl0	spec_ge8
CHEMBL1075533	66	1	100	0	yes	yes	no
CHEMBL1075538	64	1	100	0	yes	yes	no
CHEMBL1743121	34	2	40	3	yes	no	no
CHEMBL1875	43	43	45	45	yes	no	yes
CHEMBL2095172	30	14	40	27	yes	no	yes
CHEMBL2366254	43	11	86	11	yes	no	yes
CHEMBL2889	86	0	100	0	yes	yes	no
CHEMBL3071	3	2	3	2	yes	no	no
CHEMBL3072	58	32	26	74	yes	no	yes
CHEMBL3108638	35	0	98	2	yes	no	no
CHEMBL3112376	88	1	94	1	yes	no	no
CHEMBL3799	3	25	3	32	yes	no	yes
CHEMBL4523988	46	13	82	18	yes	no	yes
CHEMBL5084	12	2	12	3	yes	no	no
CHEMBL5198	11	5	11	6	yes	no	no
CHEMBL5705	8	57	12	88	yes	no	yes
CHEMBL6080	15	44	36	64	yes	no	yes
CHEMBL612570	68	0	100	0	yes	yes	no
CHEMBL612851	51	3	100	0	yes	yes	no
CHEMBL614517	40	20	100	0	yes	yes	no
