run_id,task_id,model_label,condition,correct,misread,abstain,arm,numeric_verdict,extracted_nM,answer_nM,trap_nM,n_tool_calls,n_retries,total_tokens,latency_total,answer_empty,answer_tail
t_u20_CHEMBL1075533_CHEMBL53463.units_on.qwen3-30b-a3b.r0.b747beab,t_u20_CHEMBL1075533_CHEMBL53463,qwen3-30b-a3b,units_on,True,False,False,treat,correct,37.9,37.9002,0.0379002,3,0,118986,5.980063369497657,False,The IC50 value of the compound CHEMBL53463 expressed in nanomolar (nM) is 37.9 nM.
t_u20_CHEMBL1075533_CHEMBL53463.units_off.qwen3-30b-a3b.r0.768c2864,t_u20_CHEMBL1075533_CHEMBL53463,qwen3-30b-a3b,units_off,False,True,False,treat,trap,0.0379,37.9002,0.0379002,3,0,118687,3.9654615204781294,False,The IC50 value of the compound CHEMBL53463 expressed in nanomolar (nM) is **0.0379 nM**.
t_u20_CHEMBL1075533_CHEMBL44657.units_on.qwen3-30b-a3b.r0.228f0f21,t_u20_CHEMBL1075533_CHEMBL44657,qwen3-30b-a3b,units_on,True,False,False,treat,correct,5394.24,5394.24,5.39424,3,0,118989,5.794789368286729,False,The IC50 value of the compound CHEMBL44657 expressed in nanomolar (nM) is 5394.24 nM.
t_u20_CHEMBL1075533_CHEMBL44657.units_off.qwen3-30b-a3b.r0.197ac0e9,t_u20_CHEMBL1075533_CHEMBL44657,qwen3-30b-a3b,units_off,False,True,False,treat,trap,5.39424,5394.24,5.39424,3,0,118699,3.6020012628287077,False,The IC50 value of the compound CHEMBL44657 expressed in nanomolar (nM) is **5.39424 nM**. This value was retrieved from the ChEMBL database.
t_u20_CHEMBL1075533_CHEMBL888.units_on.qwen3-30b-a3b.r0.7b44380c,t_u20_CHEMBL1075533_CHEMBL888,qwen3-30b-a3b,units_on,True,False,False,treat,correct,0.0945539,0.0945539,9.45539e-05,3,0,119002,6.07911504432559,False,f the compound CHEMBL888 expressed in nanomolar (nM) is 0.0945539 nM. This value was found in the results from the SPARQL query executed on the ChEMBL database.
t_u20_CHEMBL1075533_CHEMBL888.units_off.qwen3-30b-a3b.r0.0a2b60c0,t_u20_CHEMBL1075533_CHEMBL888,qwen3-30b-a3b,units_off,False,True,False,treat,trap,9.45539e-05,0.0945539,9.45539e-05,3,0,118695,3.6924560591578484,False,"The IC50 value of the compound CHEMBL888, expressed in nanomolar (nM), is **0.0000945539 nM**. This value was retrieved from the ChEMBL database."
t_u20_CHEMBL1075533_CHEMBL105.units_on.qwen3-30b-a3b.r0.277647dd,t_u20_CHEMBL1075533_CHEMBL105,qwen3-30b-a3b,units_on,True,False,False,treat,correct,13.9604,13.9604,0.0139604,3,0,118979,5.964109376072884,False,The IC50 value of the compound CHEMBL105 expressed in nanomolar (nM) is 13.9604 nM.
t_u20_CHEMBL1075533_CHEMBL105.units_off.qwen3-30b-a3b.r0.5c82dfbd,t_u20_CHEMBL1075533_CHEMBL105,qwen3-30b-a3b,units_off,False,True,False,treat,trap,0.0139604,13.9604,0.0139604,3,0,118692,3.694600723683834,False,"The IC50 value of the compound CHEMBL105, expressed in nanomolar (nM), is **0.0139604 nM**. This value was retrieved from the ChEMBL database."
t_u20_CHEMBL1075533_CHEMBL553025.units_on.qwen3-30b-a3b.r0.83b4a6b6,t_u20_CHEMBL1075533_CHEMBL553025,qwen3-30b-a3b,units_on,True,False,False,treat,correct,2.58754,2.58754,0.00258754,3,0,119006,6.839045867323875,False,The IC50 value of the compound CHEMBL553025 expressed in nanomolar (nM) is **2.58754** nM. This value was retrieved from the ChEMBL database.
t_u20_CHEMBL1075533_CHEMBL553025.units_off.qwen3-30b-a3b.r0.2315c9b4,t_u20_CHEMBL1075533_CHEMBL553025,qwen3-30b-a3b,units_off,False,True,False,treat,trap,0.00258754,2.58754,0.00258754,3,0,118707,4.561039783060551,False,The IC50 value of the compound CHEMBL553025 expressed in nanomolar (nM) is **0.00258754 nM**. This value was retrieved from the ChEMBL database.
t_u20_CHEMBL1075533_CHEMBL409.units_on.qwen3-30b-a3b.r0.376076a4,t_u20_CHEMBL1075533_CHEMBL409,qwen3-30b-a3b,units_on,True,False,False,treat,correct,50086.4,50086.4,50.0864,3,0,118993,6.027985708788037,False,"The IC50 value of the compound CHEMBL409, expressed in nanomolar (nM), is **50,086.4 nM**. This value was retrieved from the ChEMBL database."
t_u20_CHEMBL1075533_CHEMBL409.units_off.qwen3-30b-a3b.r0.fe9b2b5d,t_u20_CHEMBL1075533_CHEMBL409,qwen3-30b-a3b,units_off,False,True,False,treat,trap,50.0864,50086.4,50.0864,3,0,118689,3.622233420610428,False,The IC50 value of the compound CHEMBL409 expressed in nanomolar (nM) is **50.0864 nM**. This value was retrieved from the ChEMBL database.
t_u20_CHEMBL1075533_CHEMBL259181.units_on.qwen3-30b-a3b.r0.001517ec,t_u20_CHEMBL1075533_CHEMBL259181,qwen3-30b-a3b,units_on,True,False,False,treat,correct,2717.72,2717.72,2.71772,3,0,119006,6.084783928468823,False,The IC50 value of the compound CHEMBL259181 expressed in nanomolar (nM) is **2717.72 nM**. This value was found in the ChEMBL database.
t_u20_CHEMBL1075533_CHEMBL259181.units_off.qwen3-30b-a3b.r0.94fff854,t_u20_CHEMBL1075533_CHEMBL259181,qwen3-30b-a3b,units_off,False,True,False,treat,trap,2.71772,2717.72,2.71772,3,0,118704,4.137126164510846,False,The IC50 value of the compound CHEMBL259181 expressed in nanomolar (nM) is **2.71772 nM**. This value was retrieved from the ChEMBL database.
t_u20_CHEMBL1075533_CHEMBL608533.units_on.qwen3-30b-a3b.r0.6b4fb8da,t_u20_CHEMBL1075533_CHEMBL608533,qwen3-30b-a3b,units_on,True,False,False,treat,correct,322.851,322.851,0.322851,3,0,119005,6.237214295193553,False,The IC50 value of the compound CHEMBL608533 expressed in nanomolar (nM) is 322.851 nM. This value was retrieved from the ChEMBL database.
t_u20_CHEMBL1075533_CHEMBL608533.units_off.qwen3-30b-a3b.r0.2d033226,t_u20_CHEMBL1075533_CHEMBL608533,qwen3-30b-a3b,units_off,False,True,False,treat,trap,0.322851,322.851,0.322851,3,0,118705,3.8217426035553217,False,The IC50 value of the compound CHEMBL608533 expressed in nanomolar (nM) is **0.322851 nM**. This value was retrieved from the ChEMBL database.
t_u20_CHEMBL1075533_CHEMBL412142.units_on.qwen3-30b-a3b.r0.216b7824,t_u20_CHEMBL1075533_CHEMBL412142,qwen3-30b-a3b,units_on,True,False,False,treat,correct,2276.84,2276.84,2.27684,3,0,119006,6.295429930090904,False,The IC50 value of the compound CHEMBL412142 expressed in nanomolar (nM) is **2276.84 nM**. This value was retrieved from the ChEMBL database.
t_u20_CHEMBL1075533_CHEMBL412142.units_off.qwen3-30b-a3b.r0.6d9a36bf,t_u20_CHEMBL1075533_CHEMBL412142,qwen3-30b-a3b,units_off,False,True,False,treat,trap,2.27684,2276.84,2.27684,3,0,118704,7.788747042417526,False,The IC50 value of the compound CHEMBL412142 expressed in nanomolar (nM) is **2.27684 nM**. This value was retrieved from the ChEMBL database.
t_u20_CHEMBL1075533_CHEMBL1171837.units_on.qwen3-30b-a3b.r0.c861d6a8,t_u20_CHEMBL1075533_CHEMBL1171837,qwen3-30b-a3b,units_on,True,False,False,treat,correct,35559.8,35559.8,35.5598,3,0,119011,6.2260240744799376,False,"The IC50 value of the compound CHEMBL1171837 expressed in nanomolar (nM) is 35,559.8 nM. This value was retrieved from the ChEMBL database."
t_u20_CHEMBL1075533_CHEMBL1171837.units_off.qwen3-30b-a3b.r0.5b217773,t_u20_CHEMBL1075533_CHEMBL1171837,qwen3-30b-a3b,units_off,False,True,False,treat,trap,35.5598,35559.8,35.5598,3,0,118709,3.8393140584230423,False,The IC50 value of the compound CHEMBL1171837 expressed in nanomolar (nM) is **35.5598 nM**. This value was retrieved from the ChEMBL database.
t_u20_CHEMBL1075533_CHEMBL585951.units_on.qwen3-30b-a3b.r0.81f69d41,t_u20_CHEMBL1075533_CHEMBL585951,qwen3-30b-a3b,units_on,True,False,False,treat,correct,237.599,237.599,0.237599,3,0,119016,6.302067494019866,False, compound CHEMBL585951 expressed in nanomolar (nM) is **237.599 nM**. This value was found in the results from the SPARQL query executed on the ChEMBL database.
t_u20_CHEMBL1075533_CHEMBL585951.units_off.qwen3-30b-a3b.r0.5f44cd08,t_u20_CHEMBL1075533_CHEMBL585951,qwen3-30b-a3b,units_off,False,True,False,treat,trap,0.237599,237.599,0.237599,3,0,118705,3.7623430527746677,False,The IC50 value of the compound CHEMBL585951 expressed in nanomolar (nM) is **0.237599 nM**. This value was retrieved from the ChEMBL database.
t_u20_CHEMBL1075533_CHEMBL1084546.units_on.qwen3-30b-a3b.r0.0de76f08,t_u20_CHEMBL1075533_CHEMBL1084546,qwen3-30b-a3b,units_on,True,False,False,treat,correct,22167.7,22167.7,22.1677,3,0,119022,6.339813830330968,False,"ompound CHEMBL1084546 expressed in nanomolar (nM) is **22,167.7 nM**. This value was found in the results from the SPARQL query executed on the ChEMBL database."
t_u20_CHEMBL1075533_CHEMBL1084546.units_off.qwen3-30b-a3b.r0.ad19214f,t_u20_CHEMBL1075533_CHEMBL1084546,qwen3-30b-a3b,units_off,False,True,False,treat,trap,22.1677,22167.7,22.1677,3,0,118709,3.6845639124512672,False,The IC50 value of the compound CHEMBL1084546 expressed in nanomolar (nM) is **22.1677 nM**. This value was retrieved from the ChEMBL database.
t_u20_CHEMBL1075533_CHEMBL92309.units_on.qwen3-30b-a3b.r0.0e4c56a6,t_u20_CHEMBL1075533_CHEMBL92309,qwen3-30b-a3b,units_on,True,False,False,treat,correct,74446.6,74446.6,74.4466,3,0,119001,6.181641137227416,False,"The IC50 value of the compound CHEMBL92309 expressed in nanomolar (nM) is 74,446.6 nM. This value was retrieved from the ChEMBL database."
t_u20_CHEMBL1075533_CHEMBL92309.units_off.qwen3-30b-a3b.r0.10356c1d,t_u20_CHEMBL1075533_CHEMBL92309,qwen3-30b-a3b,units_off,False,True,False,treat,trap,74.4466,74446.6,74.4466,3,0,118699,3.587263412773609,False,The IC50 value of the compound CHEMBL92309 expressed in nanomolar (nM) is **74.4466 nM**. This value was retrieved from the ChEMBL database.
t_u20_CHEMBL1075533_CHEMBL135561.units_on.qwen3-30b-a3b.r0.c9d3c467,t_u20_CHEMBL1075533_CHEMBL135561,qwen3-30b-a3b,units_on,True,False,False,treat,correct,5471.42,5471.42,5.47142,3,0,118994,6.175349302589893,False,The IC50 value of the compound CHEMBL135561 expressed in nanomolar (nM) is 5471.42 nM.
t_u20_CHEMBL1075533_CHEMBL135561.units_off.qwen3-30b-a3b.r0.3c9bdfc9,t_u20_CHEMBL1075533_CHEMBL135561,qwen3-30b-a3b,units_off,False,True,False,treat,trap,5.47142,5471.42,5.47142,3,0,118693,4.655560325831175,False,The IC50 value of the compound CHEMBL135561 expressed in nanomolar (nM) is **5.47142 nM**.
t_u20_CHEMBL1075533_CHEMBL9470.units_on.qwen3-30b-a3b.r0.8796dbc7,t_u20_CHEMBL1075533_CHEMBL9470,qwen3-30b-a3b,units_on,True,False,False,treat,correct,27553.9,27553.9,27.5539,3,0,118998,6.197751834988594,False,"The IC50 value of the compound CHEMBL9470, expressed in nanomolar (nM), is **27,553.9 nM**. This value was retrieved from the ChEMBL database."
t_u20_CHEMBL1075533_CHEMBL9470.units_off.qwen3-30b-a3b.r0.8e311653,t_u20_CHEMBL1075533_CHEMBL9470,qwen3-30b-a3b,units_off,False,True,False,treat,trap,27.5539,27553.9,27.5539,3,0,118694,3.6683285664767027,False,The IC50 value of the compound CHEMBL9470 expressed in nanomolar (nM) is **27.5539 nM**. This value was retrieved from the ChEMBL database.
t_u20_CHEMBL1075533_CHEMBL258844.units_on.qwen3-30b-a3b.r0.3e70cc2c,t_u20_CHEMBL1075533_CHEMBL258844,qwen3-30b-a3b,units_on,True,False,False,treat,correct,10138.5,10138.5,10.1385,3,0,118995,6.294594012200832,False,"The IC50 value of the compound CHEMBL258844 expressed in nanomolar (nM) is 10,138.5 nM."
t_u20_CHEMBL1075533_CHEMBL258844.units_off.qwen3-30b-a3b.r0.75dea440,t_u20_CHEMBL1075533_CHEMBL258844,qwen3-30b-a3b,units_off,False,True,False,treat,trap,10.1385,10138.5,10.1385,3,0,118704,3.741089990362525,False,The IC50 value of the compound CHEMBL258844 expressed in nanomolar (nM) is **10.1385 nM**. This value was retrieved from the ChEMBL database.
t_u20_CHEMBL1075533_CHEMBL221137.units_on.qwen3-30b-a3b.r0.6062f84a,t_u20_CHEMBL1075533_CHEMBL221137,qwen3-30b-a3b,units_on,True,False,False,treat,correct,2810.07,2810.07,2.81007,3,0,118994,6.198597989976406,False,The IC50 value of the compound CHEMBL221137 expressed in nanomolar (nM) is 2810.07 nM.
