target,uM_items,units_on_correct,units_off_correct,b_on_only,c_off_only,nM_items,nM_units_off_correct
CHEMBL612851,100,100,80,20,0,0,0
CHEMBL2889,93,93,59,34,0,0,0
CHEMBL3112376,88,88,42,46,0,1,1
CHEMBL3108638,84,84,63,21,0,1,1
CHEMBL612570,73,73,38,35,0,0,0
CHEMBL1075533,71,71,48,23,0,0,0
CHEMBL614517,67,67,40,27,0,0,0
CHEMBL1075538,65,65,38,27,0,0,0
CHEMBL4523988,46,46,29,17,0,13,13
CHEMBL1875,43,43,25,18,0,43,43
CHEMBL2366254,43,43,28,15,0,11,11
CHEMBL1743121,34,34,19,15,0,2,2
CHEMBL2095172,30,30,17,13,0,14,14
CHEMBL6080,27,27,15,12,0,37,37
CHEMBL3072,26,26,24,2,0,74,73
CHEMBL5084,12,12,4,8,0,2,2
CHEMBL5198,11,11,5,6,0,5,5
CHEMBL5705,10,10,2,8,0,78,78
CHEMBL3071,3,3,2,1,0,2,2
CHEMBL3799,3,3,1,2,0,25,25
TOTAL,929,929,579,350,0,308,307
